Sno,Branches,CurrentDep,SavingsDep,CASA,TermDep,AggregateDep,RetailCredit,Agriculture,BusinessCredit,AggregateCredit,AggregateBusiness,DATE
1,BRANCH-1,317,2051,2318,2901,5269,1225,915,844,3031,8300,31-03-22
2,BRANCH-2,316,2001,2407,2901,5218,1319,960,881,3125,8343,31-03-22
3,BRANCH-3,307,2082,2355,2985,5374,1214,830,999,3089,8463,31-03-22
4,BRANCH-4,307,2066,2471,2932,5305,1217,1000,823,3114,8419,31-03-22
5,BRANCH-5,311,2089,2474,2961,5361,1252,908,841,3001,8362,31-03-22
6,BRANCH-6,312,2071,2482,2984,5367,1230,928,950,3178,8545,31-03-22
7,BRANCH-7,320,2061,2314,2954,5335,1267,878,912,3073,8408,31-03-22
8,BRANCH-8,303,2005,2477,2994,5302,1218,946,914,3079,8381,31-03-22
9,BRANCH-9,312,2008,2484,2996,5316,1395,946,956,3210,8526,31-03-22
10,BRANCH-10,311,2052,2353,2921,5284,1229,808,806,2950,8234,31-03-22
11,BRANCH-11,314,2011,2343,2938,5263,1324,939,816,3014,8277,31-03-22
12,BRANCH-12,303,2033,2442,2923,5259,1280,848,908,3015,8274,31-03-22
13,BRANCH-13,320,2020,2364,2995,5335,1312,811,863,2880,8215,31-03-22
14,BRANCH-14,318,2071,2403,2928,5317,1245,924,841,3098,8415,31-03-22
15,BRANCH-15,316,2029,2413,2970,5315,1354,834,958,3086,8401,31-03-22
16,BRANCH-16,318,2051,2344,2931,5300,1284,809,805,2906,8206,31-03-22
17,BRANCH-17,320,2041,2467,2991,5352,1311,803,980,3108,8460,31-03-22
18,BRANCH-18,308,2070,2432,2925,5303,1202,978,814,3152,8455,31-03-22
19,BRANCH-19,304,2008,2490,2934,5246,1284,925,945,3183,8429,31-03-22
20,BRANCH-20,312,2019,2326,2989,5320,1306,905,939,3175,8495,31-03-22
21,BRANCH-21,319,2087,2346,2907,5313,1318,933,847,3039,8352,31-03-22
22,BRANCH-22,314,2082,2345,2911,5307,1386,949,810,2968,8275,31-03-22
23,BRANCH-23,319,2084,2467,2999,5402,1397,894,972,3226,8628,31-03-22
24,BRANCH-24,300,2081,2308,2938,5319,1384,991,937,3310,8629,31-03-22
25,BRANCH-25,311,2089,2487,2994,5394,1336,817,918,2942,8336,31-03-22
26,BRANCH-26,306,2094,2420,2982,5382,1350,944,989,3153,8535,31-03-22
